Instrument,cap_category,personal_rating,symbol_category
360ONE,L,1,2
AADHARHFC,L,0,1
AADHARHFC,,0,1
AARTIIND,,0,0
AARTIND,,0,0
AAVAR,,0,0
AAVAS,M,0,5
ABB,L,1,2
ABBOTINDIA,,0,2
ABCAPITAL,L,1,0
ABFRL,,0,0
ABLBL,,0,2
ABSLAMC,L,0,0
ACE,M,0,0
ACI,M,0,1
ACMESOLAR,,0,0
ADANIENSOL,L,1,1
ADANIENT,L,1,0
ADANIGREEN,L,1,2
ADANIPORTS,L,1,0
ADANIPOWER,L,0,0
AEROENTER,,0,0
AFCONS,M,0,2
AFFLE,L,0,0
AGARWALEYE,,0,1
AGI,M,0,0
AIAENG,,0,2
AIIL,L,0,2
AJANTPHARM,L,0,0
AJAXENGG,,0,0
AKUMS,,0,0
AKZOINDIA,,0,0
ALOKINDS,,0,0
AMBER,,1,2
AMBUJACEM,L,1,0
ANANDRATHI,M,0,2
ANANTRAJ,M,0,1
APLAPOLLO,L,1,0
APLLTD,,0,0
APOLLO,S,0,0
APOLLOHOSP,L,1,2
APOLLOTYRE,L,0,0
APTUS,M,0,0
ARE&M,M,0,0
ARIHANTSUP,,0,4
ARTEMISMED,,0,2
ARVINDFASN,,0,2
ASAHIINDIAA,S,0,0
ASALCBR,,0,1
ASHAPURMIN,,0,4
ASHOKLEY,L,1,0
ASIANPAINT,L,1,0
ASTERDM,,0,1
ASTRAMICRO,M,0,5
ASTRAZEN,,0,1
ATGL,,0,1
ATHERENERG,,0,4
ATUL,,0,0
AUBANK,L,1,0
AUROPHARMA,L,1,0
AXISBANK,L,1,0
AZAD,M,0,1
BAJAJ-AUTO,L,1,1
BAJAJFINSV,L,1,0
BAJAJHLDNG,L,0,0
BAJFINANCE,L,1,0
BALRAMCHIN,,0,0
BANSALWIRE,M,0,1
BASF,,0,1
BATAINDIA,,0,0
BAYERCROP,,0,4
BDL,L,1,2
BEL,L,1,2
BEML,M,0,2
BERGEPAINT,,0,1
BHARATFORG,L,1,0
BHARTIHEXA,L,0,1
BHEL,L,1,2
BIKAJI,,0,1
BIOCON,,1,0
BLUEDART,,0,2
BLUESTARCO,L,1,2
BLUSPRING,,0,0
BOSCHLTD,L,1,0
BRIGADE,L,0,2
BSOFT,M,0,2
CAMS,L,1,0
CANBK,L,1,0
CANFINHOME,M,0,1
CAPLIPOINT,M,0,0
CARBORUNIV,,0,0
CARERATING,M,0,0
CASTROLIND,,0,1
CENTRALBK,,0,0
CENTUM,,0,0
CENTURYPLY,,0,0
CESC,,0,0
CGCL,M,0,0
CGPOWER,L,1,0
CHALET,,0,0
CHAMBLFERT,L,0,2
CHOICEIN,,0,4
CHOLAFIN,L,1,3
CHOLAHLDNG,L,0,3
CIPLA,L,1,0
CMSINFO,M,0,0
COALINDIA,L,1,0
COCHINSHIP,L,0,2
COHANCE,,0,0
COLPAL,L,1,0
CONCOR,,1,0
CONCORDBIO,M,0,0
COROMANDEL,L,0,0
CRAFTSMAN,,0,0
CREDITACC,,0,1
CRISIL,,0,1
CROMPTON,,0,0
CSBBANK,M,0,1
CUB,M,0,5
CUPID,,0,5
DABUR,,0,0
DALBHARAT,,1,3
DATAPATTNS,M,0,2
DBREALTY,,0,0
DCMSHRIRAM,M,0,2
DEEPAKFERT,L,0,4
DEEPAKNTR,,0,2
DELHIVERY,,1,0
DEVYANI,,0,0
DHANUKA,M,0,0
DIVGIITTS,,0,3
DIVISLAB,L,1,1
DLF,L,1,0
DMART,L,1,0
DOMS,,0,0
DRAGARWQ,,0,0
E2E,,0,0
ECLERX,,0,0
EDELWEISS,M,0,0
EICHERMOT,L,1,1
EIDPARRY,M,0,0
ELECTCAST,M,0,0
EMBASSY,M,0,0
EMCURE,L,0,0
ENGINERSIN,M,0,4
ENRIN,,0,1
ENTERO,S,0,0
EPL,M,0,0
ESCORTS,L,0,3
EXCELINDUS,S,0,1
EXIDEIND,,0,0
FACT,,0,0
FEDFINA,,0,0
FINPIPE,,0,0
FIVESTAR,L,0,0
FLUOROCHEM,,0,5
FORCEMOT,M,0,2
FUSION,,0,0
GABRIEL,M,0,0
GAEL,M,0,2
GAIL,L,1,0
GALLANTT,M,0,2
GANECOS,,0,1
GANESHHOUC,M,0,0
GENUSPOWER,M,0,0
GESHIP,M,0,0
GHCL,M,0,0
GICRE,L,0,1
GILLETTE,,0,5
GMDCLTD,M,0,3
GMRAIRPORT,,1,0
GODIGIT,,0,0
GODREJCP,L,1,0
GODREJIND,,0,0
GODREJPROP,L,1,0
GOLDETF,,0,1
GOLDIETF,,0,1
GPIL,M,0,0
GRANULES,M,1,0
GRAPHITE,M,0,0
GRASIM,L,1,0
GRAVITA,M,0,2
GRSE,L,0,2
GSFC,M,0,0
GSPL,,0,0
GUJGASLTD,,0,0
GULFOILLUB,M,0,1
GVT&D,,0,2
GVTD,,0,0
HAL,L,1,2
HAVELLS,L,1,1
HBLENGINE,,0,2
HCLTECH,L,1,0
HDFCAMC,L,1,0
HDFCBANK,L,1,0
HDFCGOLD,,0,0
HDFCSILVER,,0,4
HEG,,0,4
HEROMOTOCO,L,1,0
HFCL,,0,0
HGINFRA,M,0,0
HINDALCO,,0,0
HINDCOPPER,,0,4
HINDUNILVR,L,1,0
HINDZINC,L,1,4
HIRECT,,0,0
HOMEFIRST,M,0,0
HONASA,,0,2
HSCL,L,0,1
HUDCO,L,1,2
HUHTAMAKI,,0,0
HYUNDAI,L,0,0
ICICIBANK,L,1,0
ICICIGI,L,1,0
ICICIPRULI,,1,2
IDBI,L,0,1
IDEA,,0,0
IDFCFIRSTB,,0,0
IFBIND,M,0,0
IFCI,,0,0
IGIL,,0,4
IIFL,,1,4
IIFLCAPS,M,0,0
IKS,,0,0
INDHOTEL,L,1,1
INDIACEM,,0,2
INDIAMART,M,0,0
INDOBORAX,,0,3
INDUSINDBK,,0,1
INDUSTOWER,L,1,2
INNOVACAP,S,0,0
INNOVANA,X,0,0
INOXWIND,L,1,0
IOB,,0,0
IONEXCHANG,M,0,2
IRB,,0,0
IRCON,M,0,4
IRCTC,L,1,1
IREDA,L,1,2
IRFC,L,1,2
IRFC,L,0,2
ISGEC,M,0,5
ITC,L,1,0
ITCHOTELS,,0,0
ITDCEM,M,0,0
ITI,,0,0
