Slno,Instrument,Type,No,F,1218,1219,1222,1223,1224,1226,Dif,Percent,W
1,SILVERBEES,,0,0,193,191,200,203,209,217,17,7.83,4
1,HDFCSILVER,,500,0,194,191,201,203,210,218,17,7.80,4
3,SILVERIETF,,0,0,202,199,209,211,217,226,17,7.52,4
3,SBISILVER,,***,0,198,195,206,208,214,222,16,7.21,4
5,GOLDIETF,,0,0,114,113,115,118,117,118,3,2.54,1
5,GOLDETF,,0,0,129,129,131,133,133,134,3,2.24,1
7,HDFCGOLD,,***,0,114,113,115,117,117,117,2,1.71,0
7,SETFGOLD,,***,0,113,113,115,117,117,117,2,1.71,0
9,SETFGOLD,,***,0,113,113,115,117,117,117,2,1.71,0
9,SILVERETF,,0,0,196,193,202,205,0,0,0,0.00,0
11,IRFC,L,200,1,112,112,117,117,123,129,12,9.30,2
13,BDL,L,10,1,1343,1356,1424,1416,1442,1512,88,5.82,2
13,BEML,M,20,0,1678,1686,1796,1791,1849,1902,106,5.57,2
15,ASTRAMICRO,M,30,0,888,895,935,939,954,987,52,5.27,5
15,HAL,L,15,1,4263,4278,4383,4378,4430,4461,78,1.75,2
17,SAIL,L,0,0,130,126,130,130,134,132,2,1.52,0
17,BEL,L,0,1,385,389,399,397,401,405,6,1.48,2
19,IRCTC,L,0,1,667,670,682,683,683,692,10,1.45,1
19,COCHINSHIP,L,0,0,1512,1522,1672,1651,1662,1690,18,1.07,2
21,BHEL,L,0,1,275,277,282,281,283,285,3,1.05,2
21,ONGC,L,0,1,233,232,234,235,236,234,0,0.00,0
23,HINDCOPPER,,285,0,387,385,403,405,415,448,45,10.04,4
23,POCL,,0,0,1279,1290,1360,1357,1394,1447,87,6.01,2
25,SHRIRAMFIN,L,145,1,872,864,933,935,968,964,31,3.22,0
25,ULTRACEMCO,L,0,1,11496,11498,11531,11563,11696,11771,240,2.04,5
27,GVT&D,,8,0,2868,2864,3098,3066,3121,3160,62,1.96,2
